K,rho,r_075,r_10,r_125
3,0.41,0,0,0
3,0.42,0,0,0
3,0.43,0,0,0
3,0.44,0,0,0
3,0.45,0,0,0
3,0.46,0,0,0
3,0.47,0,0,0
3,0.48,0,0,0
3,0.49,0,0,0
3,0.5,0,0,0
3,0.51,0,0,0
3,0.52,0,0,0
3,0.53,0,0,0
3,0.54,0,0,0
3,0.55,0,0,0
3,0.56,0,0,0
3,0.57,0,0,0
3,0.58,0,0,0
3,0.59,0,0,0
3,0.6,0,0,0
3,0.61,0,0,0
3,0.62,0,0,0
3,0.63,0,0,0
3,0.64,0,0,0
3,0.65,0,0,0
3,0.66,0,0,0
3,0.67,0,0,0
3,0.68,0,0,0
3,0.69,0,0,0
3,0.7,0,0,0
3,0.71,0,0,0
3,0.72,0,0,0
3,0.73,0,0,0
3,0.74,0,0,0
3,0.75,0,0,0
3,0.76,0,0,0
3,0.77,0,0,0
3,0.78,0,0,0
3,0.79,0,0,0
3,0.8,0,0,0
3,0.81,0,0,0
3,0.82,0,0,0
3,0.83,0,0,0
3,0.84,0,0,0
3,0.85,0,0,0
3,0.86,0,0,0
3,0.87,0,0,0
3,0.88,0,0,0
3,0.89,0,0,0
3,0.9,0,0,0
3,0.91,0,0,0
3,0.92,0,0,0
3,0.93,0,0,0
3,0.94,0,0,0
3,0.95,0,0,0
3,0.96,0,0,0
3,0.97,0,0,0
3,0.98,0,0,0
3,0.99,0,0,0
4,0,0,0,0
4,0.01,0,0,0
4,0.02,0,0,0
4,0.03,0,0,0
4,0.04,0,0,0
4,0.05,0,0,0
4,0.06,0,0,0
4,0.07,0,0,0
4,0.08,0,0,0
4,0.09,0,0,0
4,0.1,0,0,0
4,0.11,0,0,0
4,0.12,0,0,0
4,0.13,0,0,0
4,0.14,0,0,0
4,0.15,0,0,0
4,0.16,0,0,0
4,0.17,0,0,0
4,0.18,0,0,0
4,0.19,0,0,0
4,0.2,0,0,0
4,0.21,0,0,0
4,0.22,0,0,0
4,0.23,0,0,0
4,0.24,0,0,0
4,0.25,0,0,0
4,0.26,0,0,0
4,0.27,0,0,0
4,0.28,0,0,0
4,0.29,0,0,0
4,0.3,0,0,0
4,0.31,0,0,0
4,0.32,0,0,0
4,0.33,0,0,0
4,0.34,0,0,0
4,0.35,0,0,0
4,0.36,0,0,0
4,0.37,0,0,0
4,0.38,0,0,0
4,0.39,0,0,0
4,0.4,0,0,0
4,0.41,0,0,0
4,0.42,0,0,0
4,0.43,0,0,0
4,0.44,0,0,0
4,0.45,0,0,0
4,0.46,0,0,0
4,0.47,0,0,0
4,0.48,0,0,0
4,0.49,0,0,0
4,0.5,0,0,0
4,0.51,0,0,0
4,0.52,0,0,0
4,0.53,0,0,0
4,0.54,0,0,0
4,0.55,0,0,0
4,0.56,0,0,0
4,0.57,0,0,0
4,0.58,0,0,0
4,0.59,0,0,0
4,0.6,0,0,0
4,0.61,0,0,0
4,0.62,0,0,0
4,0.63,0,0,0
4,0.64,0,0,0
4,0.65,0,0,0
4,0.66,0,0,0
4,0.67,0,0,0
4,0.68,0,0,0
4,0.69,0,0,0
4,0.7,0,0,0
4,0.71,0,0,0
4,0.72,0,0,0
4,0.73,0,0,0
4,0.74,0,0,0
4,0.75,0,0,0
4,0.76,0,0,0
4,0.77,0,0,0
4,0.78,0,0,0
4,0.79,0,0,0
4,0.8,0,0,0
4,0.81,0,0,0
4,0.82,0,0,0
4,0.83,0,0,0
4,0.84,0,0,0
4,0.85,0,0,0
4,0.86,0,0,0
4,0.87,0,0,0
4,0.88,0,0,0
4,0.89,0,0,0
4,0.9,0,0,0
4,0.91,0,0,0
4,0.92,0,0,0
4,0.93,0,0,0
4,0.94,0,0,0
4,0.95,0,0,0
4,0.96,0,0,0
4,0.97,0,0,0
4,0.98,0,0,0
4,0.99,0,0,0
5,0,0,0,0
5,0.01,0,0,0
5,0.02,0,0,0
5,0.03,0,0,0
5,0.04,0,0,0
5,0.05,0,0,0
5,0.06,0,0,0
5,0.07,0,0,0
5,0.08,0,0,0
5,0.09,0,0,0
5,0.1,0,0,0
5,0.11,0,0,0
5,0.12,0,0,0
5,0.13,0,0,0
5,0.14,0,0,0
5,0.15,0,0,0
5,0.16,0,0,0
5,0.17,0,0,0
5,0.18,0,0,0
5,0.19,0,0,0
5,0.2,0,0,0
5,0.21,0,0,0
5,0.22,0,0,0
5,0.23,0,0,0
5,0.24,0,0,0
5,0.25,0,0,0
5,0.26,0,0,0
5,0.27,0,0,0
5,0.28,0,0,0
5,0.29,0,0,0
5,0.3,0,0,0
5,0.31,0,0,0
5,0.32,0,0,0
5,0.33,0,0,0
5,0.34,0,0,0
5,0.35,0,0,0
5,0.36,0,0,0
5,0.37,0,0,0
5,0.38,0,0,0
5,0.39,0,0,0
5,0.4,0,0,0
5,0.41,0,0,0
5,0.42,0,0,0
5,0.43,0,0,0
5,0.44,0,0,0
5,0.45,0,0,0
5,0.46,0,0,0
5,0.47,0,0,0
5,0.48,0,0,0
5,0.49,0,0,0
5,0.5,0,0,0
5,0.51,0,0,0
5,0.52,0,0,0
5,0.53,0,0,0
5,0.54,0,0,0
5,0.55,0,0,0
5,0.56,0,0,0
5,0.57,0,0,0
5,0.58,0,0,0
5,0.59,0,0,0
5,0.6,0,0,0
5,0.61,0,0,0
5,0.62,0,0,0
5,0.63,0,0,0
5,0.64,0,0,0
5,0.65,0,0,0
5,0.66,0,0,0
5,0.67,0,0,0
5,0.68,0,0,0
5,0.69,0,0,0
5,0.7,0,0,0
5,0.71,0,0,0
5,0.72,0,0,0
5,0.73,0,0,0
5,0.74,0,0,0
5,0.75,0,0,0
5,0.76,0,0,0
5,0.77,0,0,0
5,0.78,0,0,0
5,0.79,0,0,0
5,0.8,0,0,0
5,0.81,0,0,0
5,0.82,0,0,0
5,0.83,0,0,0
5,0.84,0,0,0
5,0.85,0,0,0
5,0.86,0,0,0
5,0.87,0,0,0
5,0.88,0,0,0
5,0.89,0,0,0
5,0.9,0,0,0
5,0.91,0,0,0
5,0.92,0,0,0
5,0.93,0,0,0
5,0.94,0,0,0
5,0.95,0,0,0
5,0.96,0,0,0
5,0.97,0,0,0
5,0.98,0,0,0
5,0.99,0,0,0
6,0,0,0,0
6,0.01,0,0,0
6,0.02,0,0,0
6,0.03,0,0,0
6,0.04,0,0,0
6,0.05,0,0,0
6,0.06,0,0,0
6,0.07,0,0,0
6,0.08,0,0,0
6,0.09,0,0,0
6,0.1,0,0,0
6,0.11,0,0,0
6,0.12,0,0,0
6,0.13,0,0,0
6,0.14,0,0,0
6,0.15,0,0,0
6,0.16,0,0,0
6,0.17,0,0,0
6,0.18,0,0,0
6,0.19,0,0,0
6,0.2,0,0,0
6,0.21,0,0,0
6,0.22,0,0,0
6,0.23,0,0,0
6,0.24,0,0,0
6,0.25,0,0,0
6,0.26,0,0,0
6,0.27,0,0,0
6,0.28,0,0,0
6,0.29,0,0,0
6,0.3,0,0,0
6,0.31,0,0,0
6,0.32,0,0,0
6,0.33,0,0,0
6,0.34,0,0,0
6,0.35,0,0,0
6,0.36,0,0,0
6,0.37,0,0,0
6,0.38,0,0,0
6,0.39,0,0,0
6,0.4,0,0,0
6,0.41,0,0,0
6,0.42,0,0,0
6,0.43,0,0,0
6,0.44,0,0,0
6,0.45,0,0,0
6,0.46,0,0,0
6,0.47,0,0,0
6,0.48,0,0,0
6,0.49,0,0,0
6,0.5,0,0,0
6,0.51,0,0,0
6,0.52,0,0,0
6,0.53,0,0,0
6,0.54,0,0,0
6,0.55,0,0,0
6,0.56,0,0,0
6,0.57,0,0,0
6,0.58,0,0,0
6,0.59,0,0,0
6,0.6,0,0,0
6,0.61,0,0,0
6,0.62,0,0,0
6,0.63,0,0,0
6,0.64,0,0,0
6,0.65,0,0,0
6,0.66,0,0,0
6,0.67,0,0,0
6,0.68,0,0,0
6,0.69,0,0,0
6,0.7,0,0,0
6,0.71,0,0,0
6,0.72,0,0,0
6,0.73,0,0,0
6,0.74,0,0,0
6,0.75,0,0,0
6,0.76,0,0,0
6,0.77,0,0,0
6,0.78,0,0,0
6,0.79,0,0,0
6,0.8,0,0,0
6,0.81,0,0,0
6,0.82,0,0,0
6,0.83,0,0,0
6,0.84,0,0,0
6,0.85,0,0,0
6,0.86,0,0,0
6,0.87,0,0,0
6,0.88,0,0,0
6,0.89,0,0,0
6,0.9,0,0,0
6,0.91,0,0,0
6,0.92,0,0,0
6,0.93,0,0,0
6,0.94,0,0,0
6,0.95,0,0,0
6,0.96,0,0,0
6,0.97,0,0,0
6,0.98,0,0,0
6,0.99,0,0,0
7,0,0,0,0
7,0.01,0,0,0
7,0.02,0,0,0
7,0.03,0,0,0
7,0.04,0,0,0
7,0.05,0,0,0
7,0.06,0,0,0
7,0.07,0,0,0
7,0.08,0,0,0
7,0.09,0,0,0
7,0.1,0,0,0
7,0.11,0,0,0
7,0.12,0,0,0
7,0.13,0,0,0
7,0.14,0,0,0
7,0.15,0,0,0
7,0.16,0,0,0
7,0.17,0,0,0
7,0.18,0,0,0
7,0.19,0,0,0
7,0.2,0,0,0
7,0.21,0,0,0
7,0.22,0,0,0
7,0.23,0,0,0
7,0.24,0,0,0
7,0.25,0,0,0
7,0.26,0,0,0
7,0.27,0,0,0
7,0.28,0,0,0
7,0.29,0,0,0
7,0.3,0,0,0
7,0.31,0,0,0
7,0.32,0,0,0
7,0.33,0,0,0
7,0.34,0,0,0
7,0.35,0,0,0
7,0.36,0,0,0
7,0.37,0,0,0
7,0.38,0,0,0
7,0.39,0,0,0
7,0.4,0,0,0
7,0.41,0,0,0
7,0.42,0,0,0
7,0.43,0,0,0
7,0.44,0,0,0
7,0.45,0,0,0
7,0.46,0,0,0
7,0.47,0,0,0
7,0.48,0,0,0
7,0.49,0,0,0
7,0.5,0,0,0
7,0.51,0,0,0
7,0.52,0,0,0
7,0.53,0,0,0
7,0.54,0,0,0
7,0.55,0,0,0
7,0.56,0,0,0
7,0.57,0,0,0
7,0.58,0,0,0
7,0.59,0,0,0
7,0.6,0,0,0
7,0.61,0,0,0
7,0.62,0,0,0
7,0.63,0,0,0
7,0.64,0,0,0
7,0.65,0,0,0
7,0.66,0,0,0
7,0.67,0,0,0
7,0.68,0,0,0
7,0.69,0,0,0
7,0.7,0,0,0
7,0.71,0,0,0
7,0.72,0,0,0
7,0.73,0,0,0
7,0.74,0,0,0
7,0.75,0,0,0
7,0.76,0,0,0
7,0.77,0,0,0
7,0.78,0,0,0
7,0.79,0,0,0
7,0.8,0,0,0
7,0.81,0,0,0
7,0.82,0,0,0
7,0.83,0,0,0
7,0.84,0,0,0
7,0.85,0,0,0
7,0.86,0,0,0
7,0.87,0,0,0
7,0.88,0,0,0
7,0.89,0,0,0
7,0.9,0,0,0
7,0.91,0,0,0
7,0.92,0,0,0
7,0.93,0,0,0
7,0.94,0,0,0
7,0.95,0,0,0
7,0.96,0,0,0
7,0.97,0,0,0
7,0.98,0,0,0
7,0.99,0,0,0
8,0,0,0,0
8,0.01,0,0,0
8,0.02,0,0,0
8,0.03,0,0,0
8,0.04,0,0,0
8,0.05,0,0,0
8,0.06,0,0,0
8,0.07,0,0,0
8,0.08,0,0,0
8,0.09,0,0,0
8,0.1,0,0,0
8,0.11,0,0,0
8,0.12,0,0,0
8,0.13,0,0,0
8,0.14,0,0,0
8,0.15,0,0,0
8,0.16,0,0,0
8,0.17,0,0,0
8,0.18,0,0,0
8,0.19,0,0,0
8,0.2,0,0,0
8,0.21,0,0,0
8,0.22,0,0,0
8,0.23,0,0,0
8,0.24,0,0,0
8,0.25,0,0,0
8,0.26,0,0,0
8,0.27,0,0,0
8,0.28,0,0,0
8,0.29,0,0,0
8,0.3,0,0,0
8,0.31,0,0,0
8,0.32,0,0,0
8,0.33,0,0,0
8,0.34,0,0,0
8,0.35,0,0,0
8,0.36,0,0,0
8,0.37,0,0,0
8,0.38,0,0,0
8,0.39,0,0,0
8,0.4,0,0,0
8,0.41,0,0,0
8,0.42,0,0,0
8,0.43,0,0,0
8,0.44,0,0,0
8,0.45,0,0,0
8,0.46,0,0,0
8,0.47,0,0,0
8,0.48,0,0,0
8,0.49,0,0,0
8,0.5,0,0,0
8,0.51,0,0,0
8,0.52,0,0,0
8,0.53,0,0,0
8,0.54,0,0,0
8,0.55,0,0,0
8,0.56,0,0,0
8,0.57,0,0,0
8,0.58,0,0,0
8,0.59,0,0,0
8,0.6,0,0,0
8,0.61,0,0,0
8,0.62,0,0,0
8,0.63,0,0,0
8,0.64,0,0,0
8,0.65,0,0,0
8,0.66,0,0,0
8,0.67,0,0,0
8,0.68,0,0,0
8,0.69,0,0,0
8,0.7,0,0,0
8,0.71,0,0,0
8,0.72,0,0,0
8,0.73,0,0,0
8,0.74,0,0,0
8,0.75,0,0,0
8,0.76,0,0,0
8,0.77,0,0,0
8,0.78,0,0,0
8,0.79,0,0,0
8,0.8,0,0,0
8,0.81,0,0,0
8,0.82,0,0,0
8,0.83,0,0,0
8,0.84,0,0,0
8,0.85,0,0,0
8,0.86,0,0,0
8,0.87,0,0,0
8,0.88,0,0,0
8,0.89,0,0,0
8,0.9,0,0,0
8,0.91,0,0,0
8,0.92,0,0,0
8,0.93,0,0,0
8,0.94,0,0,0
8,0.95,0,0,0
8,0.96,0,0,0
8,0.97,0,0,0
8,0.98,0,0,0
8,0.99,0,0,0
9,0,0,0,0
9,0.01,0,0,0
9,0.02,0,0,0
9,0.03,0,0,0
9,0.04,0,0,0
9,0.05,0,0,0
9,0.06,0,0,0
9,0.07,0,0,0
9,0.08,0,0,0
9,0.09,0,0,0
9,0.1,0,0,0
9,0.11,0,0,0
9,0.12,0,0,0
9,0.13,0,0,0
9,0.14,0,0,0
9,0.15,0,0,0
9,0.16,0,0,0
9,0.17,0,0,0
9,0.18,0,0,0
9,0.19,0,0,0
9,0.2,0,0,0
9,0.21,0,0,0
9,0.22,0,0,0
9,0.23,0,0,0
9,0.24,0,0,0
9,0.25,0,0,0
9,0.26,0,0,0
9,0.27,0,0,0
9,0.28,0,0,0
9,0.29,0,0,0
9,0.3,0,0,0
9,0.31,0,0,0
9,0.32,0,0,0
9,0.33,0,0,0
9,0.34,0,0,0
9,0.35,0,0,0
9,0.36,0,0,0
9,0.37,0,0,0
9,0.38,0,0,0
9,0.39,0,0,0
9,0.4,0,0,0
9,0.41,0,0,0
9,0.42,0,0,0
9,0.43,0,0,0
9,0.44,0,0,0
9,0.45,0,0,0
9,0.46,0,0,0
9,0.47,0,0,0
9,0.48,0,0,0
9,0.49,0,0,0
9,0.5,0,0,0
9,0.51,0,0,0
9,0.52,0,0,0
9,0.53,0,0,0
9,0.54,0,0,0
9,0.55,0,0,0
9,0.56,0,0,0
9,0.57,0,0,0
9,0.58,0,0,0
9,0.59,0,0,0
9,0.6,0,0,0
9,0.61,0,0,0
9,0.62,0,0,0
9,0.63,0,0,0
9,0.64,0,0,0
9,0.65,0,0,0
9,0.66,0,0,0
9,0.67,0,0,0
9,0.68,0,0,0
9,0.69,0,0,0
9,0.7,0,0,0
9,0.71,0,0,0
9,0.72,0,0,0
9,0.73,0,0,0
9,0.74,0,0,0
9,0.75,0,0,0
9,0.76,0,0,0
9,0.77,0,0,0
9,0.78,0,0,0
9,0.79,0,0,0
9,0.8,0,0,0
9,0.81,0,0,0
9,0.82,0,0,0
9,0.83,0,0,0
9,0.84,0,0,0
9,0.85,0,0,0
9,0.86,0,0,0
9,0.87,0,0,0
9,0.88,0,0,0
9,0.89,0,0,0
9,0.9,0,0,0
9,0.91,0,0,0
9,0.92,0,0,0
9,0.93,0,0,0
9,0.94,0,0,0
9,0.95,0,0,0
9,0.96,0,0,0
9,0.97,0,0,0
9,0.98,0.137844121314629,0,0
9,0.99,0.20696893771477,0,0
10,0,0,0,0
10,0.01,0,0,0
10,0.02,0,0,0
10,0.03,0,0,0
10,0.04,0,0,0
10,0.05,0,0,0
10,0.06,0,0,0
10,0.07,0,0,0
10,0.08,0,0,0
10,0.09,0,0,0
10,0.1,0,0,0
10,0.11,0,0,0
10,0.12,0,0,0
10,0.13,0,0,0
10,0.14,0,0,0
10,0.15,0,0,0
10,0.16,0,0,0
10,0.17,0,0,0
10,0.18,0,0,0
10,0.19,0,0,0
10,0.2,0,0,0
10,0.21,0,0,0
10,0.22,0,0,0
10,0.23,0,0,0
10,0.24,0,0,0
10,0.25,0,0,0
10,0.26,0,0,0
10,0.27,0,0,0
10,0.28,0,0,0
10,0.29,0,0,0
10,0.3,0,0,0
10,0.31,0,0,0
10,0.32,0,0,0
10,0.33,0,0,0
10,0.34,0,0,0
10,0.35,0,0,0
10,0.36,0,0,0
10,0.37,0,0,0
10,0.38,0,0,0
10,0.39,0,0,0
10,0.4,0,0,0
10,0.41,0,0,0
10,0.42,0,0,0
10,0.43,0,0,0
10,0.44,0,0,0
10,0.45,0,0,0
10,0.46,0,0,0
10,0.47,0,0,0
10,0.48,0,0,0
10,0.49,0,0,0
10,0.5,0,0,0
10,0.51,0,0,0
10,0.52,0,0,0
10,0.53,0,0,0
10,0.54,0,0,0
10,0.55,0,0,0
10,0.56,0,0,0
10,0.57,0,0,0
10,0.58,0,0,0
10,0.59,0,0,0
10,0.6,0,0,0
10,0.61,0,0,0
10,0.62,0,0,0
10,0.63,0,0,0
10,0.64,0,0,0
10,0.65,0,0,0
10,0.66,0,0,0
10,0.67,0,0,0
10,0.68,0,0,0
10,0.69,0,0,0
10,0.7,0,0,0
10,0.71,0,0,0
10,0.72,0,0,0
10,0.73,0,0,0
10,0.74,0,0,0
10,0.75,0,0,0
10,0.76,0,0,0
10,0.77,0,0,0
10,0.78,0,0,0
10,0.79,0,0,0
10,0.8,0,0,0
10,0.81,0,0,0
10,0.82,0,0,0
10,0.83,0,0,0
10,0.84,0,0,0
10,0.85,0.445724362101425,0,0
10,0.86,0.646461235618245,0,0
10,0.87,0.781722576319057,0,0
10,0.88,0.944928311847258,0,0
10,0.89,1.03911317360444,0,0
10,0.9,1.13166572342251,0,0
10,0.91,1.21923765024104,0,0
10,0.92,1.29756840291117,0,0
10,0.93,1.37615872460091,0,0
10,0.94,1.44383161720334,0,0
10,0.95,1.52084310554802,0.237986423056708,0
10,0.96,1.57854225200462,0.277944052795016,0
10,0.97,1.62730743692935,0.31619920533121,0
10,0.98,1.66400141245957,0.345727540733986,0
10,0.99,1.69667907535997,0.373573786851096,0
11,0,0,0,0
11,0.01,0,0,0
11,0.02,0,0,0
11,0.03,0,0,0
11,0.04,0,0,0
11,0.05,0,0,0
11,0.06,0,0,0
11,0.07,0,0,0
11,0.08,0,0,0
11,0.09,0,0,0
11,0.1,0,0,0
11,0.11,0,0,0
11,0.12,0,0,0
11,0.13,0,0,0
11,0.14,0,0,0
11,0.15,0,0,0
11,0.16,0,0,0
11,0.17,0,0,0
11,0.18,0,0,0
11,0.19,0,0,0
11,0.2,0,0,0
11,0.21,0,0,0
11,0.22,0,0,0
11,0.23,0,0,0
11,0.24,0,0,0
11,0.25,0,0,0
11,0.26,0,0,0
11,0.27,0,0,0
11,0.28,0,0,0
11,0.29,0,0,0
11,0.3,0,0,0
11,0.31,0,0,0
11,0.32,0,0,0
11,0.33,0,0,0
11,0.34,0,0,0
11,0.35,0,0,0
11,0.36,0,0,0
11,0.37,0,0,0
11,0.38,0,0,0
11,0.39,0,0,0
11,0.4,0,0,0
11,0.41,0,0,0
11,0.42,0,0,0
11,0.43,0,0,0
11,0.44,0,0,0
11,0.45,0,0,0
11,0.46,0,0,0
11,0.47,0,0,0
11,0.48,0,0,0
11,0.49,0,0,0
11,0.5,0,0,0
11,0.51,0,0,0
11,0.52,0,0,0
11,0.53,0,0,0
11,0.54,0,0,0
11,0.55,0,0,0
11,0.56,0,0,0
11,0.57,0,0,0
11,0.58,0,0,0
11,0.59,0,0,0
11,0.6,0,0,0
11,0.61,0,0,0
11,0.62,0,0,0
11,0.63,0,0,0
11,0.64,0,0,0
11,0.65,0,0,0
11,0.66,0,0,0
11,0.67,0,0,0
11,0.68,0,0,0
11,0.69,0,0,0
11,0.7,0,0,0
11,0.71,0,0,0
11,0.72,0,0,0
11,0.73,0,0,0
11,0.74,0,0,0
11,0.75,0,0,0
11,0.76,0.835438821903019,0,0
11,0.77,1.07765491939123,0,0
11,0.78,1.24010369651759,0,0
11,0.79,1.40455548600989,0,0
11,0.8,1.56212277116722,0,0
11,0.81,1.68791914340606,0,0
11,0.82,1.78646217398967,0,0
11,0.83,1.89077893117233,0,0
11,0.84,1.98326521062142,0.471915843752426,0
11,0.85,2.09839784541951,0.578815046846846,0
11,0.86,2.20742468439869,0.651344233670107,0
11,0.87,2.32129838294751,0.708172644671133,0
11,0.88,2.41475082315189,0.782898724832339,0
11,0.89,2.51787876281866,0.84687062647484,0
11,0.9,2.61781803707687,0.903074380438256,0
11,0.91,2.7179746875491,0.953022090085939,0.296757733089586
11,0.92,2.81097520844266,1.01038808014928,0.335242917218599
11,0.93,2.91430426662418,1.05590458447765,0.377405838173346
11,0.94,3.00050455298188,1.0958588581224,0.411529809324958
11,0.95,3.08108885214802,1.14119711411702,0.441132765831443
11,0.96,3.16369086920291,1.17734019215788,0.460736974980578
11,0.97,3.24820683985337,1.19965650058412,0.486586313219005
11,0.98,3.30514181617157,1.22103106724603,0.510375896012762
11,0.99,3.35146038901824,1.23346340541629,0.515909465094071
12,0,0,0,0
12,0.01,0,0,0
12,0.02,0,0,0
12,0.03,0,0,0
12,0.04,0,0,0
12,0.05,0,0,0
